"Status","Date","Description","Debit","Credit"
"Cleared","11/21/2016","UDEMY.COM              8888385432    CA 
","26.00",""
"Cleared","11/22/2016","MEMBERSHIP FEE NOV 16-OCT 17            
","",""
"Cleared","11/20/2016","BED BATH & BEYOND #571 AUSTIN        TX 
","18.06",""
"Cleared","11/20/2016","VERTS PARMER           AUSTIN        TX 
","28.47",""
"Cleared","11/19/2016","5GUYS 1338 QSR         ROUND ROCK    TX 
","14.37",""
"Cleared","11/19/2016","BED BATH & BEYOND #305 ROUND ROCK    TX 
","17.32",""
"Cleared","11/19/2016","TARGET        00010660 ROUND ROCK    TX 
","18.16",""
"Cleared","11/19/2016","HALLMARK CREATIONS #58 ROUND ROCK    TX 
","35.70",""
"Cleared","11/19/2016","VERIZON WRLS Q3519-01  AUSTIN        TX 
","37.88",""
"Cleared","11/19/2016","ROOSTER'S PAINT & DECO ROUND ROCK    TX 
","50.65",""
"Cleared","11/19/2016","BED BATH & BEYOND #305 ROUND ROCK    TX 
","95.25",""
"Cleared","11/18/2016","HEB  #388              AUSTIN        TX 
","30.60",""
"Cleared","11/16/2016","TX.GOV SERVICEFEE      AUSTIN        TX 
","2.00",""
"Cleared","11/16/2016","WILLIAMSON VEHREG      GEORGETOWN    TX 
","75.50",""
"Cleared","11/16/2016","CHICK-FIL-A #0537      AUSTIN        TX 
","6.33",""
"Cleared","11/16/2016","P TERRY'S BURGER STAND AUSTIN        TX 
","6.60",""
"Cleared","11/15/2016","GREATER AUSTIN ALLERGY 512-507-5362  TX 
","504.79",""
"Cleared","11/14/2016","STARBUCKS STORE 06373  AUSTIN        TX 
","5.36",""
"Cleared","11/14/2016","NETFLIX.COM            NETFLIX.COM   CA 
","10.81",""
"Cleared","11/14/2016","ABEES HITECH AUTO SERV AUSTIN        TX 
","493.11",""
"Cleared","11/13/2016","EGG ROLL EXPRESS       AUSTIN        TX 
","16.48",""
"Cleared","11/13/2016","TRADER JOE'S #454 QPS  AUSTIN        TX 
","58.01",""
"Cleared","11/12/2016","JACK IN THE BOX #0906  AUSTIN        TX 
","8.42",""
"Cleared","11/12/2016","THE HOME DEPOT #0509   AUSTIN        TX 
","49.35",""
"Cleared","11/11/2016","BAMBOO BISTRO          AUSTIN        TX 
","9.04",""
"Cleared","11/10/2016","P TERRY'S BURGER STAND AUSTIN        TX 
","14.56",""
"Cleared","11/09/2016","TWC*TIME WARNER CABLE  888-TWCABLE   TX 
","153.42",""
"Cleared","11/08/2016","HEB  #388              AUSTIN        TX 
","53.01",""
